Country Name,Country Code,Year,GDP_Per_Capita,Female_Usage_Pct,Male_Usage_Pct,Internet_Usage_Pct,Region,Cost_1GB_USD,Affordability_Pct
Canada,CAN,2001,23822.096210932,,,60.2,NORTHERN AMERICA,,
Central Europe and the Baltics,CEB,2001,4360.9626352209,,,,,,
Switzerland,CHE,2001,39638.7911061864,,,55.1,WESTERN EUROPE,,
Channel Islands,CHI,2001,41873.7406146127,,,,,,
Chile,CHL,2001,4563.5952986689,,,19.1,SOUTH AMERICA,,
China,CHN,2001,1065.40597574519,,,2.63965,ASIA (EX. NEAR EAST),,
Cote d'Ivoire,CIV,2001,924.727294962066,,,0.395748,,,
Cameroon,CMR,2001,715.470296470585,,,0.277051,SUB-SAHARAN AFRICA,,
Democratic Republic of Congo,COD,2001,142.678142604412,,,0.0114758,,,
Republic of the Congo,COG,2001,854.598314408095,,,0.0322236,,,
Colombia,COL,2001,2472.99084035833,,,2.8542,SOUTH AMERICA,,
Comoros,COM,2001,681.163857619963,,,0.443068,SUB-SAHARAN AFRICA,,
Cabo Verde,CPV,2001,1223.33055331575,,,2.68533,,,
Costa Rica,CRI,2001,3985.12984506207,,,9.55948,CENTRAL AMERICA,,
Caribbean small states,CSS,2001,6647.62547849072,,,,,,
Cuba,CUB,2001,2842.96704310394,,,1.07975,CARIBBEAN,,
Curacao,CUW,2001,16609.8454536485,,,,,,
Cyprus,CYP,2001,14821.44921875,,,18.8188,NEAR EAST,,
Czechia,CZE,2001,6669.07494847497,,,14.6972,,,
Germany,DEU,2001,23878.3641471651,,,31.6509,WESTERN EUROPE,,
Djibouti,DJI,2001,742.133791107063,,,0.343526,SUB-SAHARAN AFRICA,,
Dominica,DMA,2001,5527.51527300496,,,13.2452,CARIBBEAN,,
Denmark,DNK,2001,30768.4775471112,,,42.9575,WESTERN EUROPE,,
Dominican Republic,DOM,2001,2935.89367312668,,,4.42939,CARIBBEAN,,
Algeria,DZA,2001,1896.30020878013,,,0.646114,NORTHERN AFRICA,,
East Asia & Pacific (excluding high income),EAP,2001,1014.52467003618,,,,,,
Early-demographic dividend,EAR,2001,1311.18270829395,,,,,,
East Asia & Pacific,EAS,2001,3783.30921974687,,,,,,
Europe & Central Asia (excluding high income),ECA,2001,1529.60615620796,,,,,,
